id_municipio,nome_municipio,sigla_uf,bioma_predominante,n_focos,risco_fogo_medio,frp_medio,dias_sem_chuva_medio,precipitacao_media,centroide_lat,centroide_lon
5103601,Dom Aquino,MT,Cerrado,632,0.9599,32.042,28.81,0.142,-15.613469,-54.766691
5201306,Anicuns,GO,Cerrado,632,0.9159,37.475,17.31,0.261,-16.340477,-49.992470
1712009,Lajeado,TO,Cerrado,632,0.8876,15.476,20.53,0.105,-9.812442,-48.299435
2311702,Reriutaba,CE,Caatinga,631,0.9759,16.847,49.39,0.140,-4.117308,-40.590610
5006309,Paranaíba,MS,Cerrado,627,0.7050,22.987,9.81,1.576,-19.511852,-51.284110
3171030,Verdelândia,MG,Cerrado,626,0.9077,35.598,27.74,0.392,-15.530586,-43.642545
1707553,Fátima,TO,Cerrado,626,0.9032,21.270,18.29,0.254,-10.790240,-48.833340
4304507,Canguçu,RS,Pampa,625,0.2343,9.570,3.83,0.564,-31.128146,-52.559488
2105153,Igarapé do Meio,MA,Amazônia,623,0.9289,19.752,6.84,0.897,-3.655596,-45.121252
2102358,Buritirana,MA,Cerrado,623,0.6137,23.829,4.24,1.284,-5.548891,-47.079371
1502855,Curuá,PA,Amazônia,622,0.1527,15.198,1.56,2.118,-1.708498,-55.141174
2207553,Paquetá,PI,Caatinga,622,0.9862,12.084,57.93,0.016,-7.151463,-41.687479
5107040,Primavera do Leste,MT,Cerrado,622,0.8823,52.315,18.44,0.275,-14.952116,-54.311691
2605103,Custódia,PE,Caatinga,621,0.8986,21.508,12.49,0.592,-8.127442,-37.642716
1718709,Rio dos Bois,TO,Cerrado,621,0.8851,32.115,27.41,0.715,-9.268966,-48.504288
5107792,Santo Antônio do Leste,MT,Cerrado,621,0.7657,23.977,12.75,0.600,-14.619120,-53.481405
1200336,Mâncio Lima,AC,Amazônia,621,0.3251,17.425,3.45,0.857,-7.510594,-73.213726
1504307,Maracanã,PA,Amazônia,620,0.6248,11.164,10.94,0.637,-0.861538,-47.519909
2709202,Traipu,AL,Caatinga,618,0.9134,13.320,9.98,0.353,-9.862679,-36.997850
5215652,Palestina de Goiás,GO,Cerrado,617,0.6966,31.745,9.72,0.726,-16.747229,-51.404095
2309003,Mucambo,CE,Caatinga,613,0.9855,30.148,75.28,0.028,-3.899021,-40.757653
5000856,Angélica,MS,Mata Atlântica,612,0.8863,69.281,2.92,0.416,-22.069430,-53.810933
2208650,Queimada Nova,PI,Caatinga,611,0.9702,52.109,27.93,0.128,-8.498712,-41.379260
2107605,Palmeirândia,MA,Amazônia,610,0.8004,49.166,14.19,0.299,-2.732001,-45.065118
3146552,Pai Pedro,MG,Caatinga,606,0.8187,36.826,17.58,1.208,-15.442093,-43.169470
2911659,Guajeru,BA,Caatinga,605,0.9814,34.404,41.43,0.115,-14.569360,-41.950985
2200608,Angical do Piauí,PI,Caatinga,605,0.9783,26.183,19.61,0.065,-6.111648,-42.745228
2313906,Uruoca,CE,Caatinga,604,0.9847,35.099,69.32,0.062,-3.320889,-40.676651
3133402,Itapagipe,MG,Cerrado,602,0.9130,37.590,15.74,0.207,-19.791689,-49.370734
2111029,São João do Carú,MA,Amazônia,602,0.8800,33.632,4.42,1.264,-3.483314,-46.303916
2207702,Parnaíba,PI,Caatinga,601,0.8054,8.568,43.59,0.389,-2.960186,-41.755782
5002951,Chapadão do Sul,MS,Cerrado,600,0.7526,47.599,12.61,1.107,-19.006842,-52.685995
3135803,Jequitinhonha,MG,Mata Atlântica,600,0.7839,22.297,32.64,1.348,-16.353345,-41.174517
1502004,Cachoeira do Arari,PA,Amazônia,599,0.7179,15.119,7.23,1.105,-0.955113,-48.882976
